# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
dyii 	清理	c=8 d=2.19438e-30 t=64909
dymm 	清楚	c=3 d=1.96872e-28 t=64909
dyn 	清	c=41 d=0.995012 t=64909
dyng 	清空	c=9 d=0.722527 t=64909
dynt 	法定	c=5 d=4.43289e-77 t=64909
dypn 	法院	c=2 d=6.9712e-54 t=64909
dypv 	清除	c=1 d=0.76338 t=64909
dyvj 	法人	c=18 d=6.6003e-76 t=64909
dyvl 	清华	c=1 d=6.4303e-12 t=64909
dyyw 	洼	c=4 d=1.47783e-104 t=64909
dz 	之	c=26 d=0.324888 t=64909
dzal 	之处	c=5 d=6.87757e-09 t=64909
dzdl 	之外	c=8 d=0.0476282 t=64909
dzfi 	之中	c=1 d=1.11507e-46 t=64909
dzgm 	之类	c=1 d=7.46688e-35 t=64909
dzhh 	之一	c=7 d=2.76175e-08 t=64909
dzhu 	之至	c=1 d=1.43047e-94 t=64909
dzjh 	之后	c=33 d=1.53676 t=64909
dzjl 	之所以	c=1 d=1.14922e-48 t=64909
dzkj 	之道	c=1 d=1.59929e-83 t=64909
dzkn 	之前	c=49 d=0.993723 t=64909
dznb 	之间	c=37 d=0.826959 t=64909
dzyi 	之上	c=1 d=2.24662e-52 t=64909
e 	起	c=82 d=3.88314 t=64909
ea 	路	c=10 d=0.715338 t=64909
eaf 	峯	c=1 d=2.18861e-09 t=64909
eao 	路	c=1 d=0.68045 t=64909
eavz 	路径	c=58 d=2.71199 t=64909
eayi 	路上	c=1 d=5.16466e-51 t=64909
eayi 	路由	c=93 d=2.45098 t=64909
ebrf 	嵌套	c=14 d=5.05753e-07 t=64909
ebvj 	嵌入	c=3 d=2.90979e-110 t=64909
ec 	距	c=1 d=4.4985e-44 t=64909
ecix 	距离	c=24 d=0.0948933 t=64909
ee 	翼	c=1 d=6.66913e-88 t=64909
eevs 	戳	c=3 d=1.89985 t=64909
egvo 	峪	c=1 d=2.27577e-86 t=64909
eh 	走	c=12 d=0.909373 t=64909
ehbg 	超期	c=21 d=1.03944e-36 t=64909
ehbx 	超时	c=11 d=0.315058 t=64909
ehfx 	走势	c=2 d=9.44402e-105 t=64909
ehfx 	趋势	c=2 d=5.34831e-09 t=64909
ehgu 	走动	c=2 d=4.28015e-98 t=64909
ehjh 	幅度	c=3 d=3.4153e-60 t=64909
ehl 	跑	c=1 d=1.19222e-39 t=64909
eho 	超	c=18 d=0.737123 t=64909
ehoq 	幅	c=2 d=3.97781e-41 t=64909
ehvj 	超人	c=2 d=1.43648 t=64909
ehwa 	超级	c=1 d=4.78954e-105 t=64909
ei 	山	c=10 d=0.731822 t=64909
eiho 	足够	c=2 d=2.88932e-12 t=64909
eijf 	录制	c=1 d=5.01731e-34 t=64909
eilh 	山东	c=2 d=2.33186e-49 t=64909
eivj 	录入	c=11 d=3.57786e-56 t=64909
eix 	录	c=4 d=0.76338 t=64909
eiyo 	躋	c=1 d=2.01636e-74 t=64909
eiz 	足	c=10 d=1.54985e-41 t=64909
ejt 	岸	c=1 d=6.92264e-27 t=64909
ek 	农	c=2 d=2.07121e-117 t=64909
ekos 	帐号	c=2 d=9.03733e-38 t=64909
ektq 	帐面	c=1 d=3.10347e-59 t=64909
emh 	崬	c=1 d=2.28158e-116 t=64909
en 	崇	c=3 d=1.1646e-28 t=64909
engb 	帽	c=1 d=1.72784e-22 t=64909
enn 	崩	c=4 d=1.33501e-27 t=64909
envi 	岗位	c=30 d=0.100482 t=64909
enxi 	崇左	c=1 d=3.48336e-94 t=64909
ep 	跟	c=2 d=1.85081e-104 t=64909
epjh 	印度	c=1 d=2.60975e-50 t=64909
eppx 	跟随	c=2 d=3.12245e-35 t=64909
epsz 	跟进	c=13 d=1.04389e-27 t=64909
epz 	印	c=1 d=1.33521e-48 t=64909
eq 	崽	c=1 d=3.54275e-87 t=64909
er 	灵	c=8 d=3.04477 t=64909
erdj 	灵活	c=6 d=2.22668e-06 t=64909
erec 	崎岖	c=1 d=1.10277e-92 t=64909
erhs 	跨	c=27 d=0.99005 t=64909
erjh 	跨度	c=1 d=1.02194e-20 t=64909
es 	越	c=2 d=1.8883 t=64909
esl 	越	c=1 d=2.09736e-08 t=64909
ess 	踐	c=1 d=6.63586e-88 t=64909
et 	赶	c=1 d=1.08098e-63 t=64909
etga 	赶紧	c=1 d=2.87521e-72 t=64909
eu 	出	c=87 d=3.54444 t=64909
eubu 	嵊县	c=1 d=1.48687e-49 t=64909
eugm 	粜	c=2 d=2.7121e-32 t=64909
euhy 	出勤	c=1 d=9.05519e-98 t=64909
euiw 	出现	c=29 d=1.63242 t=64909
eujy 	出生	c=3 d=6.85237e-54 t=64909
eukj 	出版	c=1 d=6.88627e-112 t=64909
eumg 	出来	c=14 d=4.3291e-33 t=64909
eund 	出门	c=2 d=2.8669e-38 t=64909
euth 	出于	c=1 d=1.04003e-50 t=64909
euub 	出租	c=139 d=3.72376 t=64909
euuo 	出台	c=1 d=5.59862e-59 t=64909
euvh 	出行	c=1 d=7.96697e-33 t=64909
euwn 	出纳	c=15 d=4.12975 t=64909
euxa 	出发	c=3 d=1.30454e-10 t=64909
euyi 	出差	c=1 d=2.36663e-76 t=64909
euyu 	出去	c=4 d=0.000505481 t=64909
euzs 	出错	c=29 d=2.63741e-27 t=64909
evg 	趁	c=1 d=7.11846e-61 t=64909
exd 	寻	c=1 d=0.740819 t=64909
exfs 	寻找	c=1 d=2.89769e-46 t=64909
exjz 	赵	c=7 d=2.38513e-50 t=64909
exls 	跳转	c=49 d=3.17612 t=64909
exno 	寻问	c=1 d=0.625003 t=64909
exsz 	跳进	c=1 d=1.27645e-48 t=64909
exxd 	跳过	c=3 d=5.57942e-48 t=64909
ezlq 	习惯	c=2 d=6.45902e-35 t=64909
f 	中	c=1336 d=19.7487 t=64909
fa 	择	c=3 d=2.57676e-18 t=64909
fatx 	披露	c=1 d=1.22745e-58 t=64909
fb 	提	c=24 d=0.76338 t=64909
fba 	掫	c=1 d=2.49348e-102 t=64909
fbaa 	摄	c=1 d=1.83144e-60 t=64909
fbaj 	提及	c=1 d=9.96335e-46 t=64909
fbba 	提取	c=164 d=9.01882 t=64909
fbgg 	提示	c=30 d=0.739366 t=64909
fbgt 	撕	c=1 d=2.98695e-50 t=64909
fbhu 	提到	c=1 d=1.29557e-17 t=64909
fbig 	提交	c=88 d=2.05544 t=64909
fbio 	提高	c=6 d=1.48083 t=64909
fbjh 	提升	c=19 d=1.8416 t=64909
fbkn 	提前	c=27 d=1.9826e-32 t=64909
fbno 	提问	c=5 d=1.4967 t=64909
fbrl 	提炼	c=2 d=1.1066e-74 t=64909
fbsb 	提醒	c=6 d=0.904837 t=64909
fbsg 	撕票	c=3 d=2.64962e-44 t=64909
fbud 	担心	c=6 d=1.36977e-27 t=64909
fbvh 	摄像	c=1 d=1.46967e-118 t=64909
fbvj 	担任	c=1 d=4.53478e-109 t=64909
fbvo 	担保	c=51 d=0.000219076 t=64909
fbvs 	提供	c=55 d=1.42106 t=64909
fbyg 	提款	c=5 d=1.78107e-109 t=64909
fcwh 	拒绝	c=12 d=0.442639 t=64909
fd 	护	c=1 d=9.52921e-110 t=64909
fexn 	搜索	c=36 d=0.774917 t=64909
ffhq 	捕获	c=5 d=0.786628 t=64909
ffi 	抻	c=1 d=8.09291e-41 t=64909
ffz 	肆	c=1 d=2.35155e-89 t=64909
fg 	抖	c=2 d=6.07771e-25 t=64909
fgdn 	扮演	c=5 d=0.000405658 t=64909
fgx 	抖	c=1 d=9.91906e-23 t=64909
fh 	事	c=42 d=2.19539e-16 t=64909
fhbr 	摸	c=1 d=2.9294e-27 t=64909
fhby 	招聘	c=4 d=0.774917 t=64909
fhdh 	丰满	c=1 d=2.21897e-24 t=64909
fhdi 	物流	c=2 d=2.76452e-72 t=64909
fhfz 	搭建	c=3 d=5.69291e-79 t=64909
fhg 	物	c=7 d=1.39826e-43 t=64909
fhh 	丰	c=3 d=0.71177 t=64909
fhig 	招商	c=2 d=4.36689e-77 t=64909
fhit 	事项	c=23 d=3.20745 t=64909
fhkb 	换算	c=1 d=2.12097e-22 t=64909
fhly 	事情	c=8 d=0.477114 t=64909
fhly 	艳	c=3 d=6.80974e-86 t=64909
fhmd 	描述	c=23 d=1.57473 t=64909
fhng 	事实	c=1 d=0.755783 t=64909
fhnr 	換	c=20 d=6.24557e-22 t=64909
fhq 	描	c=2 d=9.87234e-63 t=64909
fhsj 	换成	c=1 d=2.42613e-74 t=64909
fhsl 	搭配	c=2 d=0.0651311 t=64909
fhvf 	事件	c=26 d=2.44103 t=64909
fhvh 	换行	c=8 d=1.51932 t=64909
fhvo 	搭	c=2 d=6.63516e-28 t=64909
fhvv 	物价	c=1 d=1.585e-95 t=64909
fhxh 	事业	c=1 d=1.38638e-20 t=64909
fhxh 	物业	c=117 d=0.995012 t=64909
fi 	接	c=13 d=1.16187 t=64909
fiix 	中文	c=5 d=1.03616 t=64909
fiiy 	申请	c=44 d=1.25877e-31 t=64909
fijn 	接受	c=5 d=0.278038 t=64909
fik 	拉	c=8 d=2.40807 t=64909
fiki 	撞	c=1 d=4.45601e-50 t=64909
fikj 	擅长	c=4 d=5.98518e-21 t=64909
filz 	接连	c=1 d=2.22313e-46 t=64909
fint 	搞定	c=3 d=5.55893e-62 t=64909
fio 	捂	c=1 d=1.19799e-37 t=64909
fioi 	接口	c=180 d=8.07867 t=64909
fioo 	搞	c=2 d=4.39206e-27 t=64909
fiow 	捂	c=1 d=5.487e-28 t=64909
fiqo 	撤回	c=5 d=3.67012 t=64909
fisa 	摘要	c=4 d=2.15811e-42 t=64909
fiua 	接收	c=65 d=5.09008 t=64909
fiua 	撤	c=12 d=1.68117e-48 t=64909
fiud 	中心	c=16 d=7.90802 t=64909
fivj 	接入	c=3 d=2.69958e-07 t=64909
fivx 	中午	c=1 d=2.8638e-84 t=64909
fivy 	接待	c=1 d=0.697676 t=64909
fiw 	抗	c=2 d=9.3991e-66 t=64909
fiyi 	中止	c=1 d=2.10882e-72 t=64909
fiyi 	接上	c=1 d=2.11939e-72 t=64909
fizc 	串	c=2 d=1.28491e-118 t=64909
fizg 	撤销	c=1 d=1.80817e-86 t=64909
fj 	手	c=8 d=2.80679e-24 t=64909
fjaa 	折叠	c=1 d=1.05414e-32 t=64909
fjaz 	挺好	c=3 d=4.02443e-28 t=64909
fjdg 	抵消	c=1 d=3.42381e-97 t=64909
fjep 	手印	c=1 d=3.80015e-118 t=64909
fjft 	抵押	c=21 d=1.25864e-27 t=64909
fjgh 	拆分	c=30 d=2.16787e-05 t=64909
fjgu 	手动	c=16 d=3.90861e-09 t=64909
fjhn 	牛	c=7 d=9.59788e-52 t=64909
fjih 	手工	c=3 d=0.386146 t=64909
fjjn 	授受	c=2 d=0.438235 t=64909
fjjx 	拆迁	c=1 d=1.74355e-99 t=64909
fjkn 	托管	c=6 d=0.0116203 t=64909
fjl 	托	c=1 d=2.07318e-48 t=64909
fjlt 	牛顿	c=1 d=1.09091e-53 t=64909
fjma 	授权	c=5 d=1.73072e-95 t=64909
fjmd 	手术	c=1 d=4.77911e-50 t=64909
fjmw 	手机	c=38 d=0.778801 t=64909
fjna 	授	c=28 d=3.13669e-96 t=64909
fjos 	括号	c=5 d=1 t=64909
fjps 	扩展	c=36 d=0.806541 t=64909
fjrh 	扩大	c=1 d=3.84068e-37 t=64909
fjt 	折	c=11 d=2.46688e-38 t=64909
fjtc 	拆	c=1 d=4.41905e-99 t=64909
fjvf 	插件	c=91 d=2.39152 t=64909
fjvj 	插入	c=13 d=0.767206 t=64909
fjwq 	折线图	c=1 d=8.29641e-39 t=64909
fjws 	手续费	c=1 d=4.45587e-79 t=64909
fjws 	折线	c=2 d=1.5572e-38 t=64909
fjwx 	手续	c=1 d=9.65483e-117 t=64909
fjxo 	括	c=2 d=3.56013e-113 t=64909
fjxu 	插	c=1 d=2.8975e-104 t=64909
fjyz 	挺	c=4 d=1.14645e-49 t=64909
fkh 	拼	c=2 d=1.2778e-31 t=64909
fkns 	拼写	c=6 d=2.1316e-22 t=64909
fkxs 	拦截	c=32 d=4.34864 t=64909
fl 	把	c=253 d=3.71627 t=64909
flb 	指	c=9 d=0.179964 t=64909
flbh 	批量	c=26 d=0.774917 t=64909
flbn 	指明	c=1 d=6.47795e-40 t=64909
flbx 	掉	c=3 d=1.36146e-26 t=64909
fldh 	批次	c=2 d=4.67346e-95 t=64909
fldj 	指派	c=3 d=6.37791e-39 t=64909
fldv 	拟	c=2 d=4.06708e-111 t=64909
flfh 	掉换	c=2 d=2.64838e-17 t=64909
flgg 	指示	c=7 d=5.36994e-50 t=64909
flhl 	掉色	c=1 d=2.94399e-56 t=64909
fljn 	指向	c=3 d=5.17467e-15 t=64909
fljz 	指教	c=1 d=2.42035e-46 t=64909
flmg 	指标	c=11 d=1.48205e-38 t=64909
flns 	撰写	c=1 d=2.32174e-86 t=64909
flnt 	指定	c=196 d=3.21039 t=64909
flvf 	批件	c=1 d=1.28986e-112 t=64909
flxa 	批发	c=1 d=4.76565e-105 t=64909
flzx 	指针	c=10 d=1.76721 t=64909
fm 	抹	c=1 d=2.15896e-25 t=64909
fn 	按	c=21 d=0.810584 t=64909
fna 	按	c=40 d=2.86774 t=64909
fnbg 	按期	c=1 d=2.35107e-116 t=64909
fnbh 	按照	c=9 d=5.55952e-06 t=64909
fnfh 	拥抱	c=1 d=1.72738e-107 t=64909
fngi 	控	c=7 d=1.99051e-24 t=64909
fnix 	控球	c=1 d=7.22773e-05 t=64909
fnjf 	控制	c=43 d=0.637628 t=64909
fnju 	控制台	c=1 d=6.31222e-88 t=64909
fnnj 	按月	c=1 d=1.69392e-24 t=64909
fnnq 	搬家	c=1 d=2.03975e-92 t=64909
fnwa 	搬	c=2 d=2.69857e-32 t=64909
fnxn 	拥有	c=6 d=2.87491e-12 t=64909
fnxn 	探索	c=1 d=1.11849e-82 t=64909
fnzf 	按键	c=5 d=0.458406 t=64909
fnzz 	按钮	c=68 d=4.62288 t=64909
foij 	告诉	c=1 d=2.92373e-63 t=64909
foik 	扣	c=5 d=1.03243e-31 t=64909
foio 	造就	c=2 d=3.59407e-75 t=64909
fojr 	损失	c=1 d=3.2078e-95 t=64909
fosj 	造成	c=1 d=1.62745e-53 t=64909
fovp 	造假	c=1 d=4.57023e-83 t=64909
fovr 	告知	c=2 d=2.27826e-50 t=64909
fovv 	操作	c=272 d=5.85689 t=64909
fox 	靠	c=2 d=0.955997 t=64909
foz 	造	c=2 d=2.15258e-49 t=64909
fp 	报	c=72 d=1.29787 t=64909
fpa 	报	c=5 d=8.06592e-95 t=64909
fpbx 	帮助	c=20 d=1.15565 t=64909
fpe 	帮	c=1 d=1.82864e-42 t=64909
fpeu 	掘	c=1 d=1.0684e-43 t=64909
fpfo 	报告	c=10 d=7.18919e-40 t=64909
fpkr 	报送	c=2 d=1.01505e-109 t=64909
fpps 	拓展	c=2 d=2.9835e-07 t=64909
fpvv 	报价	c=12 d=2.72526 t=64909
fpw 	邦	c=7 d=7.11065e-22 t=64909
fpwb 	邦	c=1 d=5.57811e-104 t=64909
fpyj 	报表	c=27 d=2.42497e-39 t=64909
fpzg 	报销	c=1 d=2.52291e-93 t=64909
fr 	扶	c=1 d=0.0305009 t=64909
frz 	抉	c=1 d=1.39889e-08 t=64909
fs 	找	c=52 d=0.0152987 t=64909
fsfi 	撒拉	c=1 d=2.99612e-86 t=64909
fshu 	找到	c=23 d=0.968213 t=64909
fsih 	措施	c=2 d=7.44642e-54 t=64909
ft 	打	c=28 d=1.24791e-16 t=64909
ftep 	打印	c=15 d=5.87853e-36 t=64909
ftfo 	打造	c=2 d=1.60354e-26 t=64909
ftgh 	打分	c=1 d=1.72626e-70 t=64909
fthl 	打包	c=88 d=2.94072 t=64909
fti 	押	c=11 d=1.15991e-98 t=64909
ftkb 	打算	c=17 d=9.23242e-32 t=64909
ftnz 	打字	c=3 d=0.76338 t=64909
ftra 	打败	c=1 d=1.13898e-31 t=64909
ftsh 	打开	c=41 d=0.242952 t=64909
ftvi 	打住	c=1 d=2.85115e-32 t=64909
ftzj 	押金	c=35 d=0.00136037 t=64909
fub 	擼	c=1 d=7.64135e-42 t=64909
fugq 	播	c=13 d=8.76914 t=64909
fuih 	播放	c=2 d=0.782704 t=64909
fv 	推	c=8 d=5.31137e-20 t=64909
fvba 	拾取	c=1 d=2.31622e-58 t=64909
fvgm 	推断	c=4 d=1.16389e-107 t=64909
fvho 	拾	c=6 d=1.72411 t=64909
fvhx 	推荐	c=16 d=1.52744 t=64909
fvi 	推	c=2 d=1.52724 t=64909
fvih 	拖放	c=2 d=1.96561 t=64909
fvj 	疌	c=1 d=0.767206 t=64909
fvkr 	推送	c=4 d=2.61263 t=64909
fvl 	拖	c=1 d=6.65913e-41 t=64909
fvvh 	推倒	c=1 d=1.00857e-71 t=64909
fvvq 	中华人民共和国	c=1 d=3.14994e-28 t=64909
fw 	先	c=96 d=3.38465 t=64909
fwa 	投	c=31 d=0.612841 t=64909
fwa 	段	c=2 d=0.000303539 t=64909
fwad 	段	c=13 d=0.0021358 t=64909
fwba 	选取	c=1 d=0.119433 t=64909
fwdh 	投资	c=1 d=1.18523e-58 t=64909
fwfa 	选择	c=123 d=6.23849 t=64909
fwfi 	选中	c=8 d=1.00518e-20 t=64909
fwit 	选项	c=58 d=1.45629 t=64909
fwnf 	选用	c=1 d=0.606531 t=64909
fwsj 	赞成	c=1 d=0.774917 t=64909
fwz 	抝	c=5 d=2.17607e-59 t=64909
fwz 	选	c=13 d=1.31434 t=64909
fwzx 	选	c=11 d=2.19794e-59 t=64909
fxbh 	执照	c=2 d=2.60445e-107 t=64909
fxd 	热	c=1 d=5.71093e-28 t=64909
fxd 	隶	c=3 d=3.784e-103 t=64909
fxdo 	排名	c=8 d=4.49811e-46 t=64909
fxdr 	热	c=1 d=3.39284e-49 t=64909
fxeu 	抛出	c=3 d=4.25921e-48 t=64909
fxeu 	排出	c=1 d=1.46214e-87 t=64909
fxhd 	排列	c=1 d=3.29436e-26 t=64909
fxi 	排	c=3 d=5.73956e-28 t=64909
fxih 	排放	c=1 d=0.759572 t=64909
fxis 	技巧	c=6 d=1.7752e-30 t=64909
fxjh 	热度	c=6 d=2.86945 t=64909
fxjn 	热爱	c=1 d=2.31016e-86 t=64909
fxjz 	排序	c=30 d=4.26486 t=64909
fxmd 	技术	c=57 d=11.4281 t=64909
fxnd 	热门	c=7 d=4.7461 t=64909
fxpc 	隶属	c=2 d=1.75402e-103 t=64909
fxpv 	排除	c=2 d=0.171187 t=64909
fxun 	技能	c=6 d=1.52149 t=64909
fxvh 	执行	c=62 d=2.88394 t=64909
fxvh 	排行	c=14 d=7.83992e-64 t=64909
fy 	特	c=2 d=1.52692e-26 t=64909
fyhd 	特殊	c=3 d=9.89853e-28 t=64909
fyhq 	抽象	c=9 d=8.92886e-21 t=64909
fyi 	抽	c=1 d=7.93967e-22 t=64909
fyig 	特效	c=2 d=2.05333e-33 t=64909
fyl 	拤	c=1 d=2.35002e-52 t=64909
fylj 	特性	c=30 d=0.458406 t=64909
fylo 	特点	c=12 d=8.64685e-12 t=64909
fynt 	特定	c=3 d=7.10295e-06 t=64909
fyox 	特别	c=3 d=9.65932e-05 t=64909
fywx 	持续	c=3 d=0.722527 t=64909
fyxd 	持	c=3 d=4.31697e-30 t=64909
fyxd 	特	c=3 d=9.29802e-27 t=64909
fyxn 	持有	c=2 d=2.34976e-100 t=64909
fyy 	挂	c=17 d=3.6495e-27 t=64909
fz 	书	c=17 d=6.85259e-25 t=64909
fzid 	建言	c=1 d=9.02475e-29 t=64909
fzid 	建议	c=4 d=0.00173804 t=64909
fzik 	建立	c=3 d=1.57078 t=64909
fziw 	建设	c=1 d=4.99536e-100 t=64909
fzjh 	建厂	c=1 d=3.62934e-77 t=64909
fzki 	建筑	c=2 d=4.66225e-104 t=64909
fzkm 	书籍	c=2 d=1.51892e-94 t=64909
fzmh 	书本	c=4 d=2.92204e-48 t=64909
fzmh 	建模	c=1 d=9.54085e-95 t=64909
fzns 	书写	c=9 d=0.983097 t=64909
fzns 	扭腰	c=1 d=1.46992e-120 t=64909
fzvh 	建行	c=1 d=2.28615e-22 t=64909
fzw 	建	c=75 d=5.92314 t=64909
fzwh 	违约	c=26 d=4.0953e-41 t=64909
g 	小	c=223 d=7.50347 t=64909
gadr 	紧凑	c=4 d=4.51336e-24 t=64909
gahe 	紧急	c=2 d=1.05687e-33 t=64909
gar 	贤	c=7 d=1.87239e-26 t=64909
gasa 	紧要	c=2 d=2.24554e-17 t=64909
gawg 	紧	c=1 d=3.1076e-104 t=64909
gay 	坚	c=1 d=4.1391e-35 t=64909
ge 	当	c=152 d=3.58511 t=64909
gebg 	归期	c=1 d=9.29393e-110 t=64909
gebx 	当时	c=1 d=2.2575e-50 t=64909
gedr 	当然	c=3 d=2.56994e-75 t=64909
gefi 	当中	c=3 d=6.96349e-08 t=64909
gehr 	当天	c=1 d=6.29593e-87 t=64909
gekn 	当前	c=114 d=2.49001 t=64909
gemg 	归档	c=7 d=0.0258615 t=64909
genf 	弊害	c=2 d=1.22636e-77 t=64909
gepc 	归属	c=3 d=7.12163e-59 t=64909
gevf 	当年	c=22 d=3.24161e-29 t=64909
gevv 	当作	c=2 d=4.5847e-32 t=64909
gez 	当	c=2 d=1.87278e-109 t=64909
gezg 	归	c=3 d=7.08952e-116 t=64909
gf 	半	c=12 d=3.72466e-48 t=64909
gfdr 	判决	c=2 d=9.95013e-59 t=64909
gfgm 	判断	c=105 d=9.48134 t=64909
gfh 	半	c=1 d=1.38606e-76 t=64909
gfhr 	半天	c=2 d=3.11706e-51 t=64909
gfnt 	判定	c=5 d=1.5851e-37 t=64909
gfox 	判别	c=1 d=1.22741e-87 t=64909
gfvf 	半年	c=1 d=1.78399e-104 t=64909
gg 	州	c=5 d=0.628135 t=64909
ggi 	示	c=2 d=1.20245e-43 t=64909
ggvh 	示例	c=237 d=5.54955 t=64909
gh 	三	c=104 d=0.926246 t=64909
ghbn 	光明	c=1 d=0.0982734 t=64909
ghcx 	分区	c=1 d=4.5149e-28 t=64909
ghdx 	分为	c=14 d=0.196912 t=64909
gheb 	兴趣	c=2 d=2.04128e-42 t=64909
ghg 	兴	c=2 d=1.10258 t=64909
ghgk 	光临	c=2 d=1.4716 t=64909
ghgm 	分数	c=3 d=4.07375e-46 t=64909
ghgm 	分米	c=3 d=7.56897e-38 t=64909
ghgm 	分类	c=58 d=5.99806 t=64909
ghgw 	二元	c=1 d=2.02186e-106 t=64909
ghh 	三	c=6 d=1.13504e-49 t=64909
ghh 	二	c=75 d=3.71937 t=64909
ghhe 	二	c=3 d=3.06477e-105 t=64909
ghhn 	分解	c=2 d=7.54578e-41 t=64909
ghii 	分辨率	c=1 d=0.909373 t=64909
ghik 	分辨	c=4 d=1.54991 t=64909
ghio 	分享	c=9 d=2.82046 t=64909
ghix 	分离	c=9 d=0.590412 t=64909
ghmg 	光标	c=36 d=4.88936e-08 t=64909
ghmj 	分析	c=59 d=0.637628 t=64909
ghnf 	分割	c=5 d=2.53581e-06 t=64909
ghox 	分别	c=34 d=0.786628 t=64909
ghph 	分隔	c=11 d=2.13357e-39 t=64909
ghpv 	分队	c=2 d=2.26442e-82 t=64909
ghqi 	三国	c=3 d=7.52707e-32 t=64909
ghsh 	分开	c=2 d=2.1132e-67 t=64909
ghsj 	分成	c=1 d=1.6624e-09 t=64909
ghsl 	分配	c=76 d=11.6428 t=64909
ghtr 	分页	c=157 d=9.00899 t=64909
ghvf 	三年	c=3 d=6.97356e-116 t=64909
ghw 	光	c=1 d=4.1847e-105 t=64909
ghwb 	分组	c=12 d=1.00966 t=64909
ghxa 	分发	c=1 d=9.56036e-119 t=64909
ghxa 	分支	c=36 d=2.42787e-20 t=64909
ghxe 	分布	c=22 d=0.0285813 t=64909
ghxh 	三十	c=5 d=7.17965e-91 t=64909
ghyg 	分步	c=1 d=1.48986e-102 t=64909
ghz 	分	c=15 d=7.07877e-18 t=64909
ghzf 	分钟	c=16 d=0.158588 t=64909
gi 	刂	c=1 d=2.10207e-05 t=64909
gihb 	小草	c=1 d=0.873716 t=64909
gitg 	小平	c=4 d=5.97946e-10 t=64909
gj 	少	c=47 d=0.226502 t=64909
gjb 	省	c=1 d=0.100762 t=64909
gji 	川	c=4 d=2.33263 t=64909
gjj 	少	c=1 d=9.50294e-107 t=64909
gjn 	八	c=6 d=1.70211e-22 t=64909
gjyu 	省去	c=1 d=1.00909e-77 t=64909
gkbg 	临期	c=11 d=9.85126e-37 t=64909
gkbx 	临时	c=8 d=1.06508e-47 t=64909
gkfn 	监控	c=1 d=2.03254e-21 t=64909
gkkn 	监管	c=2 d=1.21523e-58 t=64909
gkoj 	监听	c=3 d=1.43664e-104 t=64909
gkq 	临	c=40 d=8.41173e-25 t=64909
gktw 	监视	c=1 d=7.44912e-07 t=64909
gkw 	览	c=8 d=7.24166e-28 t=64909
gm 	数	c=144 d=3.11359 t=64909
gmb 	粗	c=4 d=0.65377 t=64909
gmbg 	粸	c=1 d=3.92135e-105 t=64909
gmbh 	数量	c=32 d=4.80992e-08 t=64909
gmbi 	数目	c=1 d=6.50778e-94 t=64909
gmdi 	精液	c=3 d=6.59825e-13 t=64909
gmfj 	数据库	c=36 d=0.718924 t=64909
gmfp 	数据	c=379 d=18.9114 t=64909
gmg 	剿	c=1 d=1.83775e-71 t=64909
gmgn 	数学	c=16 d=2.23157 t=64909
gmh 	米	c=12 d=0.771052 t=64909
gmhm 	米	c=2 d=3.30492e-93 t=64909
gmid 	断言	c=55 d=2.82097 t=64909
gmjh 	精度	c=17 d=0.0611148 t=64909
gmkn 	精简	c=2 d=1.30919e-13 t=64909
gmky 	精装	c=1 d=1.99143e-104 t=64909
gmlo 	粘	c=2 d=2.43545e-23 t=64909
gmlt 	断	c=4 d=8.11139e-09 t=64909
gmnt 	断定	c=2 d=4.54843e-105 t=64909
gmnz 	数字	c=33 d=1.70016e-20 t=64909
gmox 	类别	c=1 d=0.0301974 t=64909
gmph 	粗陋	c=2 d=6.15134e-49 t=64909
gmph 	精确	c=4 d=0.0720785 t=64909
gmr 	类	c=44 d=1.54999 t=64909
gmr 	粀	c=1 d=3.6142e-116 t=64909
gmrl 	类	c=2 d=2.84264e-115 t=64909
gmrl 	粘贴	c=1 d=2.59665e-79 t=64909
gmrl 	精炼	c=1 d=5.07636e-54 t=64909
gmsg 	类型	c=466 d=12.6624 t=64909
gmsh 	断开	c=1 d=1.34881e-79 t=64909
gmvl 	类似	c=23 d=0.505053 t=64909
gmvm 	粗体	c=3 d=1.93341 t=64909
gmvs 	断代	c=1 d=1.84231e-12 t=64909
gmvx 	数值	c=16 d=0.168058 t=64909
gmw 	籶	c=1 d=2.59453e-40 t=64909
gmwb 	数组	c=108 d=3.64122 t=64909
gmyn 	精	c=1 d=3.97033e-104 t=64909
gn 	学	c=18 d=0.726149 t=64909
gnbh 	常量	c=7 d=0.988689 t=64909
gnez 	学习	c=13 d=0.817471 t=64909
gnfn 	掌控	c=3 d=3.7964e-77 t=64909
gnfp 	掌握	c=3 d=1.41305 t=64909
gngn 	常常	c=8 d=1.5185e-32 t=64909
gnio 	常识	c=2 d=2.10193e-54 t=64909
gnis 	尝试	c=3 d=7.82484e-60 t=64909
gnjb 	学者	c=2 d=0.748264 t=64909
gnjx 	学历	c=3 d=8.13106e-76 t=64909
gnjy 	学生	c=3 d=6.5379e-86 t=64909
gnna 	常客	c=1 d=2.73025e-81 t=64909
gnnf 	常用	c=52 d=1.37857 t=64909
gnnq 	学家	c=4 d=2.92632e-31 t=64909
